tool,db,tech,pre_covg,pre_depth,post_covg,post_depth,rel_covg,rel_depth
kraken,standard,ont,99.9549,103.89,99.9517,85.4888,0.9999679855614884,0.82287804408509
kraken,standard-8,ont,99.9549,103.89,99.9461,64.4953,0.9999119602940927,0.6208037347194147
kraken,mycobacterium,ont,99.9549,103.89,99.9548,100.302,0.9999989995487966,0.96546347097892
minimap2,clockwork,ont,99.9549,103.89,99.9549,100.355,1.0,0.9659736259505246
minimap2,mtbc,ont,99.9549,103.89,99.9545,97.5554,0.999995998195186,0.9390258927712004
minimap2,mycobacterium,ont,99.9549,103.89,99.9549,100.355,1.0,0.9659736259505246
