tool,db,tech,pre_covg,pre_depth,post_covg,post_depth,rel_covg,rel_depth
kraken,standard,ont,99.5031,59.0994,99.3757,44.9281,0.9987196378806288,0.760212455625607
kraken,standard-8,ont,99.5031,59.0994,99.3581,29.4189,0.9985427589693184,0.4977867795612138
kraken,mycobacterium,ont,99.5031,59.0994,99.3763,55.0589,0.9987256678435144,0.9316321316290859
minimap2,clockwork,ont,99.5031,59.0994,99.3764,55.1048,0.9987266728373287,0.9324087892601277
minimap2,mtbc,ont,99.5031,59.0994,99.3764,53.8665,0.9987266728373287,0.911455953867552
minimap2,mycobacterium,ont,99.5031,59.0994,99.3764,55.1046,0.9987266728373287,0.9324054051310164
