Method,Rate (reads/sec),Peak Memory (GB),FN,FP,TN,TP,Specificity (95% CI),Sensitivity (95% CI),Youden's Index (95% CI),Precision (95% CI),F-score (95% CI)
kraken standard,1406,66.8,15620,0,28395,44638,1.0 (0.9999-1.0),0.7408 (0.7373-0.7443),0.7408 (0.7371-0.7443),1.0 (0.9999-1.0),0.8511 (0.8487-0.8534)
kraken standard-8,4884,7.8,34973,0,28395,25285,1.0 (0.9999-1.0),0.4196 (0.4157-0.4236),0.4196 (0.4155-0.4236),1.0 (0.9998-1.0),0.5912 (0.5872-0.5951)
kraken mycobacterium,4286,8.2,284,1,28394,59974,1.0 (0.9998-1.0),0.9953 (0.9947-0.9958),0.9953 (0.9945-0.9958),1.0 (0.9999-1.0),0.9976 (0.9973-0.9979)
minimap2 clockwork,349,14.0,1,48,28364,60257,0.9983 (0.9978-0.9987),1.0 (0.9999-1.0),0.9983 (0.9977-0.9987),0.9992 (0.9989-0.9994),0.9996 (0.9994-0.9997)
minimap2 mtbc,418,2.0,1787,753,27620,58471,0.9735 (0.9715-0.9753),0.9703 (0.969-0.9717),0.9438 (0.9405-0.9469),0.9873 (0.9864-0.9882),0.9787 (0.9776-0.9798)
minimap2 mycobacterium,368,7.9,2,3,28494,60256,0.9999 (0.9997-1.0),1.0 (0.9999-1.0),0.9999 (0.9996-1.0),1.0 (0.9999-1.0),1.0 (0.9999-1.0)
