Method,Rate (reads/sec),Peak Memory (GB),FN,FP,TN,TP,Specificity (95% CI),Sensitivity (95% CI),Youden's Index (95% CI),Precision (95% CI),F-score (95% CI)
HRRT,281,1.0,2558,2,100714,131710,1.0 (0.9999-1.0),0.9809 (0.9802-0.9817),0.9809 (0.9801-0.9817),1.0 (0.9999-1.0),0.9904 (0.99-0.9907)
Hostile,263,12.8,21,4,100712,134247,1.0 (0.9999-1.0),0.9998 (0.9998-0.9999),0.9998 (0.9997-0.9999),1.0 (0.9999-1.0),0.9999 (0.9998-0.9999)
minimap2,412,9.0,21,7,100709,134247,0.9999 (0.9999-1.0),0.9998 (0.9998-0.9999),0.9998 (0.9996-0.9999),0.9999 (0.9999-1.0),0.9999 (0.9998-0.9999)
miniwinnow,854,3.0,15,8,100708,134253,0.9999 (0.9998-1.0),0.9999 (0.9998-0.9999),0.9998 (0.9997-0.9999),0.9999 (0.9999-1.0),0.9999 (0.9998-1.0)
kraken default,1618,4.1,27,3,100713,134241,1.0 (0.9999-1.0),0.9998 (0.9997-0.9999),0.9998 (0.9996-0.9999),1.0 (0.9999-1.0),0.9999 (0.9998-0.9999)
kraken HPRC,2384,4.7,24,7,100709,134244,0.9999 (0.9999-1.0),0.9998 (0.9997-0.9999),0.9998 (0.9996-0.9998),0.9999 (0.9999-1.0),0.9999 (0.9998-0.9999)
