Method,Rate (reads/sec),Peak Memory (GB),FN,FP,TN,TP,Specificity (95% CI),Sensitivity (95% CI),Youden's Index (95% CI),Precision (95% CI),F-score (95% CI)
HRRT,488,1.1,3214,2861,912348,138737,0.9969 (0.9968-0.997),0.9774 (0.9766-0.9781),0.9742 (0.9733-0.9751),0.9798 (0.979-0.9805),0.9786 (0.9778-0.9793)
Hostile,333,14.3,2017,1274,913935,139934,0.9986 (0.9985-0.9987),0.9858 (0.9852-0.9864),0.9844 (0.9837-0.9851),0.991 (0.9905-0.9915),0.9884 (0.9878-0.9889)
minimap2,405,11.8,1994,1380,913829,139957,0.9985 (0.9984-0.9986),0.986 (0.9853-0.9866),0.9844 (0.9837-0.9851),0.9902 (0.9897-0.9907),0.9881 (0.9875-0.9886)
miniwinnow,924,4.5,1761,2884,912325,140190,0.9968 (0.9967-0.997),0.9876 (0.987-0.9882),0.9844 (0.9837-0.9851),0.9798 (0.9791-0.9806),0.9837 (0.983-0.9843)
kraken default,4322,4.1,2675,2505,912704,139276,0.9973 (0.9972-0.9974),0.9812 (0.9804-0.9818),0.9784 (0.9776-0.9792),0.9823 (0.9816-0.983),0.9817 (0.981-0.9824)
kraken HPRC,8081,4.8,2411,3476,911733,139540,0.9962 (0.9961-0.9963),0.983 (0.9823-0.9837),0.9792 (0.9784-0.98),0.9757 (0.9749-0.9765),0.9793 (0.9786-0.9801)
