tool,db,tech,pre_covg,pre_depth,post_covg,post_depth,rel_covg,rel_depth
kraken,standard,illumina,99.2938,11.1761,59.8951,1.80468,0.6032108752006671,0.1614767226492247
kraken,standard-8,illumina,99.2938,11.1761,19.1227,0.601337,0.1925870497453013,0.05380562092322009
kraken,mycobacterium,illumina,99.2938,11.1761,98.3138,10.9056,0.9901303001798702,0.975796565886132
minimap2,clockwork,illumina,99.2938,11.1761,99.2913,11.124,0.9999748221943364,0.9953382664793623
minimap2,mtbc,illumina,99.2938,11.1761,99.2824,10.5352,0.9998851892061739,0.9426544143305804
minimap2,mycobacterium,illumina,99.2938,11.1761,99.2913,11.1201,0.9999748221943364,0.9949893075401974
